,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
0,24/03/2020,24,3,2020,6,1,Afghanistan,AF
1,23/03/2020,23,3,2020,10,0,Afghanistan,AF
2,22/03/2020,22,3,2020,0,0,Afghanistan,AF
3,21/03/2020,21,3,2020,2,0,Afghanistan,AF
4,20/03/2020,20,3,2020,0,0,Afghanistan,AF
5,19/03/2020,19,3,2020,0,0,Afghanistan,AF
6,18/03/2020,18,3,2020,1,0,Afghanistan,AF
7,17/03/2020,17,3,2020,5,0,Afghanistan,AF
8,16/03/2020,16,3,2020,6,0,Afghanistan,AF
9,15/03/2020,15,3,2020,3,0,Afghanistan,AF
10,11/03/2020,11,3,2020,3,0,Afghanistan,AF
11,08/03/2020,8,3,2020,3,0,Afghanistan,AF
12,02/03/2020,2,3,2020,0,0,Afghanistan,AF
13,01/03/2020,1,3,2020,0,0,Afghanistan,AF
14,29/02/2020,29,2,2020,0,0,Afghanistan,AF
15,28/02/2020,28,2,2020,0,0,Afghanistan,AF
16,27/02/2020,27,2,2020,0,0,Afghanistan,AF
17,26/02/2020,26,2,2020,0,0,Afghanistan,AF
18,25/02/2020,25,2,2020,1,0,Afghanistan,AF
19,24/02/2020,24,2,2020,0,0,Afghanistan,AF
20,23/02/2020,23,2,2020,0,0,Afghanistan,AF
21,22/02/2020,22,2,2020,0,0,Afghanistan,AF
22,21/02/2020,21,2,2020,0,0,Afghanistan,AF
23,20/02/2020,20,2,2020,0,0,Afghanistan,AF
24,19/02/2020,19,2,2020,0,0,Afghanistan,AF
25,18/02/2020,18,2,2020,0,0,Afghanistan,AF
26,17/02/2020,17,2,2020,0,0,Afghanistan,AF
27,16/02/2020,16,2,2020,0,0,Afghanistan,AF
28,15/02/2020,15,2,2020,0,0,Afghanistan,AF
29,14/02/2020,14,2,2020,0,0,Afghanistan,AF
30,13/02/2020,13,2,2020,0,0,Afghanistan,AF
31,12/02/2020,12,2,2020,0,0,Afghanistan,AF
32,11/02/2020,11,2,2020,0,0,Afghanistan,AF
33,10/02/2020,10,2,2020,0,0,Afghanistan,AF
34,09/02/2020,9,2,2020,0,0,Afghanistan,AF
35,08/02/2020,8,2,2020,0,0,Afghanistan,AF
36,07/02/2020,7,2,2020,0,0,Afghanistan,AF
37,06/02/2020,6,2,2020,0,0,Afghanistan,AF
38,05/02/2020,5,2,2020,0,0,Afghanistan,AF
39,04/02/2020,4,2,2020,0,0,Afghanistan,AF
40,03/02/2020,3,2,2020,0,0,Afghanistan,AF
41,02/02/2020,2,2,2020,0,0,Afghanistan,AF
42,01/02/2020,1,2,2020,0,0,Afghanistan,AF
43,31/01/2020,31,1,2020,0,0,Afghanistan,AF
44,30/01/2020,30,1,2020,0,0,Afghanistan,AF
45,29/01/2020,29,1,2020,0,0,Afghanistan,AF
46,28/01/2020,28,1,2020,0,0,Afghanistan,AF
47,27/01/2020,27,1,2020,0,0,Afghanistan,AF
48,26/01/2020,26,1,2020,0,0,Afghanistan,AF
49,25/01/2020,25,1,2020,0,0,Afghanistan,AF
50,24/01/2020,24,1,2020,0,0,Afghanistan,AF
51,23/01/2020,23,1,2020,0,0,Afghanistan,AF
52,22/01/2020,22,1,2020,0,0,Afghanistan,AF
53,21/01/2020,21,1,2020,0,0,Afghanistan,AF
54,20/01/2020,20,1,2020,0,0,Afghanistan,AF
55,19/01/2020,19,1,2020,0,0,Afghanistan,AF
56,18/01/2020,18,1,2020,0,0,Afghanistan,AF
57,17/01/2020,17,1,2020,0,0,Afghanistan,AF
58,16/01/2020,16,1,2020,0,0,Afghanistan,AF
59,15/01/2020,15,1,2020,0,0,Afghanistan,AF
60,14/01/2020,14,1,2020,0,0,Afghanistan,AF
61,13/01/2020,13,1,2020,0,0,Afghanistan,AF
62,12/01/2020,12,1,2020,0,0,Afghanistan,AF
63,11/01/2020,11,1,2020,0,0,Afghanistan,AF
64,10/01/2020,10,1,2020,0,0,Afghanistan,AF
65,09/01/2020,9,1,2020,0,0,Afghanistan,AF
66,08/01/2020,8,1,2020,0,0,Afghanistan,AF
67,07/01/2020,7,1,2020,0,0,Afghanistan,AF
68,06/01/2020,6,1,2020,0,0,Afghanistan,AF
